id,longitude,latitude,basin,region,district_code,public_meeting,permit,extraction_type,management,payment,water_quality,quantity,source,waterpoint_type,pop_log,age
50785,35.29,-4.06,Internal,Manyara,DD3,True,True,other,parastatal,never pay,soft,seasonal,rainwater harvesting,other,5.771441123130016,1
51630,36.66,-3.31,Pangani,Arusha,DD2,True,True,gravity,vwc,never pay,soft,insufficient,spring,communal standpipe,5.703782474656201,13
17168,34.77,-5.0,Internal,Singida,DD2,True,True,other,vwc,never pay,soft,insufficient,rainwater harvesting,other,6.214608098422191,3
45559,38.06,-9.42,Ruvuma / Southern Coast,Lindi,DD43,True,True,other,vwc,unknown,soft,dry,shallow well,other,5.521460917862246,26
49871,35.01,-10.95,Ruvuma / Southern Coast,Ruvuma,DD3,True,True,gravity,water board,pay monthly,soft,enough,spring,communal standpipe,4.0943445622221,13
52449,36.69,-3.3,Pangani,Arusha,DD2,True,True,gravity,vwc,never pay,soft,enough,spring,communal standpipe,5.298317366548036,23
24806,36.4,-7.54,Rufiji,Iringa,DD7,True,True,india mark ii,vwc,never pay,salty,enough,machine dbh,hand pump,6.396929655216146,4
28965,39.61,-10.89,Ruvuma / Southern Coast,Mtwara,DD4,True,True,submersible,vwc,never pay,soft,dry,machine dbh,communal standpipe multiple,6.214608098422191,31
36301,39.26,-10.82,Ruvuma / Southern Coast,Mtwara,DD33,True,False,gravity,vwc,pay per bucket,soft,insufficient,spring,communal standpipe,3.6888794541139363,16
54122,37.1,-3.25,Pangani,Kilimanjaro,DD7,True,True,gravity,water board,pay monthly,soft,enough,spring,communal standpipe,5.298317366548036,10
419,37.23,-3.24,Pangani,Kilimanjaro,DD5,True,True,gravity,water board,pay per bucket,soft,enough,spring,communal standpipe,4.31748811353631,7
45750,37.69,-4.56,Pangani,Manyara,DD4,True,True,other,vwc,never pay,soft,dry,rainwater harvesting,other,6.214608098422191,11
653,33.66,-4.17,Internal,Tabora,DD2,True,True,mono,vwc,unknown,soft,dry,machine dbh,communal standpipe multiple,6.214608098422191,3
14017,33.01,-3.21,Lake Victoria,Mwanza,DD4,True,True,mono,vwc,pay per bucket,soft,enough,machine dbh,communal standpipe multiple,4.382026634673881,6
44607,35.62,-7.87,Rufiji,Iringa,DD1,True,True,gravity,vwc,pay monthly,soft,enough,spring,communal standpipe,6.214608098422191,27
40228,35.48,-10.91,Ruvuma / Southern Coast,Ruvuma,DD2,True,True,gravity,vwc,pay annually,soft,enough,river,communal standpipe multiple,5.521460917862246,24
27714,39.85,-7.73,Rufiji,Pwani,DD6,True,False,nira/tanira,vwc,never pay,soft,enough,shallow well,hand pump,6.802394763324311,10
28785,38.25,-4.57,Pangani,Tanga,DD1,True,True,gravity,vwc,pay monthly,soft,enough,spring,communal standpipe,4.174387269895637,33
28330,31.59,-3.39,Lake Tanganyika,Shinyanga,DD5,True,True,gravity,parastatal,unknown,soft,seasonal,rainwater harvesting,communal standpipe,5.991464547107982,13
18532,39.44,-10.58,Ruvuma / Southern Coast,Mtwara,DD4,True,True,submersible,vwc,never pay,soft,dry,machine dbh,communal standpipe,5.703782474656201,31
69961,39.32,-6.85,Wami / Ruvu,Dar es Salaam,DD3,True,False,submersible,other - school,never pay,soft,enough,machine dbh,communal standpipe,4.787491742782046,3
55083,34.94,-9.35,Rufiji,Iringa,DD4,True,False,gravity,vwc,never pay,soft,insufficient,spring,communal standpipe,3.4011973816621555,3
8691,31.05,-5.05,Lake Tanganyika,Kigoma,DD3,True,True,other,vwc,unknown,milky,enough,shallow well,other,7.4673710669175595,8
30331,34.62,-5.17,Internal,Singida,DD2,True,True,mono,vwc,unknown,unknown,dry,machine dbh,communal standpipe,4.382026634673881,43
70970,33.72,-3.05,Lake Victoria,Shinyanga,DD2,True,False,nira/tanira,wug,never pay,soft,enough,shallow well,hand pump,5.940171252720432,12
61136,34.93,-9.15,Rufiji,Iringa,DD4,True,False,gravity,vwc,pay monthly,soft,enough,spring,communal standpipe,3.912023005428146,3
28799,35.42,-10.58,Ruvuma / Southern Coast,Ruvuma,DD2,True,True,gravity,vwc,never pay,soft,dry,river,communal standpipe,5.780743515792329,4
46825,35.89,-6.15,Wami / Ruvu,Dodoma,DD5,True,False,mono,vwc,pay per bucket,salty,dry,machine dbh,communal standpipe multiple,5.298317366548036,12
44718,37.61,-2.97,Lake Victoria,Shinyanga,DD1,True,False,nira/tanira,wug,pay when scheme fails,salty abandoned,enough,shallow well,hand pump,4.382026634673881,14
