longitude,latitude,basin,region,district_code,public_meeting,permit,extraction_type,management,payment,water_quality,quantity,source,waterpoint_type,pop_log,age,status_group
32.8,-8.99,Lake Rukwa,Mbeya,D6,True,False,nira/tanira,vwc,pay when scheme fails,soft,insufficient,shallow well,hand pump,5.972692541927154,17,non functional
30.93,-3.25,Lake Tanganyika,Kigoma,D1,True,False,nira/tanira,vwc,unknown,soft,enough,shallow well,hand pump,5.857933154483459,1,functional
32.72,-8.77,Lake Rukwa,Mbeya,D6,False,False,gravity,vwc,never pay,soft,enough,spring,other,5.972692541927154,17,functional
34.82,-11.31,Lake Nyasa,Ruvuma,D3,True,True,gravity,vwc,pay annually,soft,enough,spring,communal standpipe,4.143134726391533,21,functional
34.24,-4.47,Internal,Singida,D1,True,True,mono,wua,pay per bucket,soft,enough,machine dbh,communal standpipe multiple,5.365976015021851,2,functional
35.91091129329781,-7.682285673293707,Lake Victoria,Mwanza,D6,True,True,nira/tanira,vwc,never pay,soft,insufficient,shallow well,hand pump,6.194405391104672,15,functional
35.39,-3.5,Internal,Arusha,D30,True,True,gravity,vwc,pay per bucket,soft,enough,spring,communal standpipe,5.0106352940962555,7,functional
31.18,-7.85,Lake Rukwa,Rukwa,D3,True,True,gravity,private operator,pay annually,soft,enough,river,communal standpipe,5.298317366548036,2,functional
35.11,-9.55,Lake Nyasa,Iringa,D4,True,False,gravity,vwc,never pay,soft,insufficient,spring,communal standpipe,5.0106352940962555,39,functional
39.54,-10.19,Ruvuma / Southern Coast,Lindi,D23,True,False,ksb,vwc,pay per bucket,soft,enough,machine dbh,communal standpipe multiple,6.960347729101308,7,functional needs repair
32.833333333333336,-3.35,Lake Victoria,Mwanza,D6,True,True,other,vwc,unknown,unknown,dry,shallow well,other,6.194405391104672,15,non functional
34.64,-4.87,Internal,Singida,D4,True,True,nira/tanira,wug,pay monthly,soft,seasonal,shallow well,hand pump,4.499809670330265,10,functional
37.72,-7.02,Wami / Ruvu,Morogoro,D2,True,True,gravity,vwc,never pay,soft,enough,river,communal standpipe,4.605170185988092,7,functional
29.67,-4.91,Lake Tanganyika,Kigoma,D4,False,True,other,other,never pay,soft,dry,lake,communal standpipe,5.857933154483459,42,non functional
35.66,-1.98,Internal,Arusha,D5,True,False,gravity,parastatal,never pay,soft,seasonal,rainwater harvesting,other,5.1298987149230735,2,functional
34.83,-5.73,Internal,Singida,D3,True,False,submersible,vwc,pay per bucket,soft,insufficient,machine dbh,communal standpipe multiple,6.684611727667927,11,functional
37.3,-3.4,Pangani,Kilimanjaro,D5,True,True,gravity,water board,other,soft,enough,spring,communal standpipe,4.382026634673881,3,functional
35.36,-9.88,Lake Nyasa,Ruvuma,D2,True,True,gravity,vwc,pay annually,soft,enough,river,communal standpipe,5.298317366548036,39,functional
34.59,-1.74,Lake Victoria,Mara,D2,True,True,nira/tanira,wug,unknown,soft,seasonal,shallow well,hand pump,5.703782474656201,18,functional
30.53,-5.72,Lake Tanganyika,Rukwa,D1,True,True,other,vwc,never pay,soft,enough,machine dbh,hand pump,4.941642422609304,30,non functional
36.61,-3.28,Pangani,Arusha,D2,True,True,other,vwc,never pay,soft,enough,machine dbh,other,5.0106352940962555,43,non functional
36.99,-3.32,Pangani,Arusha,D7,True,True,gravity,vwc,unknown,soft,insufficient,spring,communal standpipe,5.049856007249537,6,functional
32.18,-2.41,Lake Victoria,Mwanza,D5,True,True,nira/tanira,vwc,never pay,soft,enough,shallow well,hand pump,6.194405391104672,15,functional
37.61,-6.14,Wami / Ruvu,Morogoro,D6,True,True,submersible,vwc,never pay,salty,insufficient,machine dbh,communal standpipe,4.0943445622221,1,non functional
30.12,-4.51,Lake Tanganyika,Kigoma,D2,True,True,gravity,water board,pay monthly,soft,insufficient,river,communal standpipe,6.476972362889683,5,functional
31.12,-1.35,Lake Victoria,Kagera,D1,True,True,submersible,vwc,never pay,soft,dry,machine dbh,communal standpipe,5.778840172736036,7,non functional
31.85,-1.24,Lake Victoria,Kagera,D2,True,True,gravity,vwc,never pay,soft,enough,spring,improved spring,5.913279930309456,15,functional needs repair
35.16,-9.43,Rufiji,Iringa,D4,True,False,gravity,vwc,never pay,soft,insufficient,spring,communal standpipe,4.0943445622221,2,functional
30.39,-5.11,Lake Tanganyika,Kigoma,D3,False,True,gravity,vwc,unknown,soft,seasonal,river,communal standpipe multiple,5.703782474656201,16,functional
36.78,-3.35,Pangani,Arusha,D7,True,True,gravity,wua,unknown,soft,insufficient,spring,communal standpipe multiple,5.857933154483459,39,functional
33.54,-8.94,Rufiji,Mbeya,D2,True,True,gravity,wug,pay monthly,soft,seasonal,river,communal standpipe,5.913279930309456,11,functional
34.38272727272727,-5.542727272727273,Lake Victoria,Mwanza,D6,True,True,other,vwc,never pay,soft,insufficient,rainwater harvesting,communal standpipe,6.194405391104672,15,functional
35.73,-3.3,Internal,Arusha,D30,True,True,gravity,vwc,pay per bucket,soft,enough,river,communal standpipe,5.0106352940962555,19,functional
34.54,-9.1,Rufiji,Iringa,D4,True,True,gravity,wua,pay annually,soft,enough,river,communal standpipe,4.31748811353631,18,functional
37.23,-3.19,Pangani,Kilimanjaro,D5,True,True,gravity,water board,pay per bucket,soft,enough,spring,communal standpipe,4.382026634673881,5,non functional
